ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
78,Tarzan of the Apes,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/78/pg78.cover.medium.jpg,https://www.gutenberg.org/cache/epub/78/pg78.cover.medium.jpg,https://www.gutenberg.org/cache/epub/78/pg78.cover.medium.jpg
79,Terminal Compromise,"Schwartau, Winn, 1952-",1993,,,https://www.gutenberg.org/cache/epub/79/pg79.cover.medium.jpg,https://www.gutenberg.org/cache/epub/79/pg79.cover.medium.jpg,https://www.gutenberg.org/cache/epub/79/pg79.cover.medium.jpg
80,The Online World,"De Presno, Odd, 1944-",1993,,,https://www.gutenberg.org/cache/epub/80/pg80.cover.medium.jpg,https://www.gutenberg.org/cache/epub/80/pg80.cover.medium.jpg,https://www.gutenberg.org/cache/epub/80/pg80.cover.medium.jpg
81,The Return of Tarzan,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/81/pg81.cover.medium.jpg,https://www.gutenberg.org/cache/epub/81/pg81.cover.medium.jpg,https://www.gutenberg.org/cache/epub/81/pg81.cover.medium.jpg
82,Ivanhoe: A Romance,"Scott, Walter, 1771-1832",2008,,,https://www.gutenberg.org/cache/epub/82/pg82.cover.medium.jpg,https://www.gutenberg.org/cache/epub/82/pg82.cover.medium.jpg,https://www.gutenberg.org/cache/epub/82/pg82.cover.medium.jpg
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905",1993,,,https://www.gutenberg.org/cache/epub/83/pg83.cover.medium.jpg,https://www.gutenberg.org/cache/epub/83/pg83.cover.medium.jpg,https://www.gutenberg.org/cache/epub/83/pg83.cover.medium.jpg
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851",1993,,,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg
85,The Beasts of Tarzan,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/85/pg85.cover.medium.jpg,https://www.gutenberg.org/cache/epub/85/pg85.cover.medium.jpg,https://www.gutenberg.org/cache/epub/85/pg85.cover.medium.jpg
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/86/pg86.cover.medium.jpg,https://www.gutenberg.org/cache/epub/86/pg86.cover.medium.jpg,https://www.gutenberg.org/cache/epub/86/pg86.cover.medium.jpg
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,1993,,,https://www.gutenberg.org/cache/epub/87/pg87.cover.medium.jpg,https://www.gutenberg.org/cache/epub/87/pg87.cover.medium.jpg,https://www.gutenberg.org/cache/epub/87/pg87.cover.medium.jpg
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael, 1947-2011",1993,,,https://www.gutenberg.org/cache/epub/88/pg88.cover.medium.jpg,https://www.gutenberg.org/cache/epub/88/pg88.cover.medium.jpg,https://www.gutenberg.org/cache/epub/88/pg88.cover.medium.jpg
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",Canada,1993,,,https://www.gutenberg.org/cache/epub/89/pg89.cover.medium.jpg,https://www.gutenberg.org/cache/epub/89/pg89.cover.medium.jpg,https://www.gutenberg.org/cache/epub/89/pg89.cover.medium.jpg
90,The Son of Tarzan,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/90/pg90.cover.medium.jpg,https://www.gutenberg.org/cache/epub/90/pg90.cover.medium.jpg,https://www.gutenberg.org/cache/epub/90/pg90.cover.medium.jpg
91,Tom Sawyer Abroad,"Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/91/pg91.cover.medium.jpg,https://www.gutenberg.org/cache/epub/91/pg91.cover.medium.jpg,https://www.gutenberg.org/cache/epub/91/pg91.cover.medium.jpg
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/92/pg92.cover.medium.jpg,https://www.gutenberg.org/cache/epub/92/pg92.cover.medium.jpg,https://www.gutenberg.org/cache/epub/92/pg92.cover.medium.jpg
93,"Tom Sawyer, Detective","Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/93/pg93.cover.medium.jpg,https://www.gutenberg.org/cache/epub/93/pg93.cover.medium.jpg,https://www.gutenberg.org/cache/epub/93/pg93.cover.medium.jpg
94,Alexander's Bridge,"Cather, Willa, 1873-1947",2006,,,https://www.gutenberg.org/cache/epub/94/pg94.cover.medium.jpg,https://www.gutenberg.org/cache/epub/94/pg94.cover.medium.jpg,https://www.gutenberg.org/cache/epub/94/pg94.cover.medium.jpg
95,The prisoner of Zenda,"Hope, Anthony, 1863-1933",2006,,,https://www.gutenberg.org/cache/epub/95/pg95.cover.medium.jpg,https://www.gutenberg.org/cache/epub/95/pg95.cover.medium.jpg,https://www.gutenberg.org/cache/epub/95/pg95.cover.medium.jpg
96,The Monster Men,"Burroughs, Edgar Rice, 1875-1950",1994,,,https://www.gutenberg.org/cache/epub/96/pg96.cover.medium.jpg,https://www.gutenberg.org/cache/epub/96/pg96.cover.medium.jpg,https://www.gutenberg.org/cache/epub/96/pg96.cover.medium.jpg
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott, 1838-1926",1994,,,https://www.gutenberg.org/cache/epub/97/pg97.cover.medium.jpg,https://www.gutenberg.org/cache/epub/97/pg97.cover.medium.jpg,https://www.gutenberg.org/cache/epub/97/pg97.cover.medium.jpg
98,A Tale of Two Cities,"Dickens, Charles, 1812-1870",1994,,,https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg,https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg,https://www.gutenberg.org/cache/epub/98/pg98.cover.medium.jpg
99,Collected Articles of Frederick Douglass,"Douglass, Frederick, 1818-1895",1994,,,https://www.gutenberg.org/cache/epub/99/pg99.cover.medium.jpg,https://www.gutenberg.org/cache/epub/99/pg99.cover.medium.jpg,https://www.gutenberg.org/cache/epub/99/pg99.cover.medium.jpg
